Model,True Label,Predicted Label,Method,Correct
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,1,1,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,1,1,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,1,1,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,1,1,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,1,0,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,1,Without Sampling,False
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
Logistic Regression,0,0,Without Sampling,True
